start_hour,activeSessions_site1,utilizationRate_site1,kWhDelivered_site1,idleRate_site1,blockedRate_site1,activeSessions_site2,utilizationRate_site2,kWhDelivered_site2,idleRate_site2,blockedRate_site2,activeSessions_total,kWhDelivered_total,utilizationRate_total,idleRate_total,blockedRate_total,temperature,cloud_cover,cloud_cover_description,pressure,windspeed,precipitation,hour_of_day,week_of_year,day_of_week,month_of_year,is_weekend,date,year
2021-02-23 05:00:00-08:00,6,0.08161324786324786,18.73230869612606,0.8675873805471921,0.01080662393162393,0,0.0,0.0,0.0,0.0,6,18.73230869612606,0.03966251298026999,0.8675873805471921,0.034410695742471444,,,,,,,5,8,1,2,False,2021-02-23,2021
2021-02-23 06:00:00-08:00,7,0.11543269230769232,15.402341598912805,0.636216391318432,0.04199252136752138,0,0.0,0.0,0.0,0.0,7,15.402341598912805,0.0560981308411215,0.636216391318432,0.03569055036344756,,,,,,,6,8,1,2,False,2021-02-23,2021
2021-02-23 07:00:00-08:00,11,0.15761217948717948,22.45295514403187,0.7559735638027454,0.03846153846153844,0,0.0,0.0,0.0,0.0,11,22.45295514403187,0.07659657320872273,0.7559735638027454,0.05790498442367602,,,,,,,7,8,1,2,False,2021-02-23,2021
2021-02-23 08:00:00-08:00,15,0.2333066239316239,33.33860351484858,0.6957069261591299,0.07099358974358974,1,0.00297979797979798,0.9172460829493086,1.0,0.0,16,34.25584959779789,0.11491433021806853,0.6997627922738054,0.08041277258566977,,,,,,,8,8,1,2,False,2021-02-23,2021
2021-02-23 09:00:00-08:00,16,0.30362713675213676,49.26714618589707,0.7799222364925491,0.0668215811965812,2,0.01908080808080808,5.772408731895512,1.0,0.0,18,55.03955491779258,0.157365005192108,0.7936387482059488,0.12489096573208723,,,,,,,9,8,1,2,False,2021-02-23,2021
2021-02-23 10:00:00-08:00,22,0.3525427350427351,53.19691893313954,0.6921783138372022,0.10852029914529918,2,0.02573737373737374,5.472530165090205,0.948783359497645,0.0013181818181818223,24,58.66944909822975,0.1845586708203531,0.710572216283126,0.1311422637590862,,,,,,,10,8,1,2,False,2021-02-23,2021
2021-02-23 11:00:00-08:00,20,0.37756944444444446,51.702367557097084,0.6344420707120725,0.1380235042735043,1,0.01818181818181818,3.5525320084081784,1.0,0.0,21,55.25489956550526,0.19283748701973003,0.6521586946863935,0.1257606438213915,,,,,,,11,8,1,2,False,2021-02-23,2021
2021-02-23 12:00:00-08:00,20,0.3729754273504273,43.9857775517716,0.5303418742212229,0.17517094017094012,2,0.023974747474747475,4.988283011656793,0.8908784495470823,0.0026161616161616175,22,48.97406056342839,0.19358255451713394,0.5532936380216716,0.10710799584631361,,,,,,,12,8,1,2,False,2021-02-23,2021
2021-02-23 13:00:00-08:00,22,0.3458814102564102,34.576224460726195,0.44448562912168527,0.192142094017094,3,0.03425252525252526,2.841871582925486,0.46918313181952226,0.01818181818181818,25,37.41809604365168,0.18569833852544132,0.44682724972389587,0.08297507788161992,,,,,,,13,8,1,2,False,2021-02-23,2021
2021-02-23 14:00:00-08:00,19,0.32563034188034184,30.106878901323135,0.40919977689556747,0.19238247863247862,3,0.05454545454545454,6.197948541941307,0.6666666666666666,0.01818181818181818,22,36.30482744326444,0.18628764278296986,0.4479500543493409,0.08344755970924195,,,,,,,14,8,1,2,False,2021-02-23,2021
2021-02-23 15:00:00-08:00,15,0.2501121794871795,14.613476909240006,0.31167638452831,0.17215811965811964,3,0.048,5.026174194065695,0.6206860269360269,0.01820707070707071,18,19.639651103305702,0.1462227414330218,0.3638171327119396,0.05319833852544133,,,,,,,15,8,1,2,False,2021-02-23,2021
2021-02-23 16:00:00-08:00,11,0.18262820512820513,4.152317202315374,0.2106002106002106,0.14416666666666667,2,0.03636363636363636,0.05500568106751222,0.009305555555555555,0.03602525252525252,13,4.207322883382886,0.1074454828660436,0.17558229438484585,0.018865524402907577,,,,,,,16,8,1,2,False,2021-02-23,2021
2021-02-23 17:00:00-08:00,9,0.12772435897435896,3.921024731981708,0.2837306566290255,0.09148504273504272,2,0.018545454545454546,0.0,0.0,0.018545454545454546,11,3.921024731981708,0.07160436137071652,0.2459575085200493,0.017611630321910696,,,,,,,17,8,1,2,False,2021-02-23,2021
